id,hour,lat,lon,mag,depth,nsta,label
04038,01,37.5052,141.5722,5.4,45.2,40,1
04039,15,36.2315,141.9317,5.4,33.0,35,1
04041,11,37.5667,141.7633,4.6,48.4,40,1
04042,04,40.1443,142.4625,4.9,34.6,40,1
04043,01,36.5233,140.5710,3.7,57.5,40,1
04044,13,36.2055,138.0060,3.4,5.7,20,1
04045,14,36.2028,138.0068,3.1,5.3,20,1
04047,09,38.0863,142.0930,5.0,17.8,40,1
04052,07,36.9022,141.0765,4.9,51.6,40,1
04053,09,41.9193,142.3363,4.8,69.1,39,1
04055,09,36.6325,140.6037,3.8,6.3,20,1
04057,20,34.2262,139.1465,3.1,8.0,39,1
04058,07,36.6617,141.1665,4.2,36.5,40,1
04062,03,34.9373,135.5823,3.5,10.8,20,1
04063,21,37.0958,140.5987,3.7,8.7,20,1
04064,21,38.4308,141.8302,3.9,57.6,40,1
04065,09,35.8893,137.6753,3.5,6.7,20,1
04066,12,35.3848,140.1880,3.9,60.4,35,1
04067,09,38.7150,142.2930,4.9,38.7,40,1
04068,07,37.0507,140.5833,4.3,6.7,20,1
04069,07,37.0535,140.6925,4.2,16.7,20,1
04071,10,37.3687,141.1153,3.7,39.0,40,1
04072,12,34.8460,135.5150,3.7,9.9,20,1
04073,19,36.2883,137.6532,3.9,3.1,20,1
04079,10,37.7255,141.9227,5.3,25.7,40,1
04081,23,38.1075,141.6543,4.4,54.7,40,1
04083,00,38.2900,142.7652,5.2,27.2,40,1
04087,08,36.8643,139.4553,4.1,5.1,20,1
04089,05,38.7247,142.1790,4.5,41.2,40,1
04093,17,28.4975,129.0805,4.1,59.6,27,1
04094,10,34.9762,134.6153,4.0,13.5,20,1
04099,12,45.9860,141.8085,5.2,22.4,28,1
04100,09,36.0038,137.2872,3.5,11.4,20,1
04104,18,36.5557,141.4918,5.5,47.3,36,1
04108,16,30.8775,130.8522,4.4,52.6,38,1
04110,01,24.7383,125.3538,4.0,17.2,9,1
04112,02,43.1027,144.9955,4.6,78.2,40,1
04115,19,38.6952,142.3568,4.7,41.0,39,1
04116,02,42.4895,139.2822,4.4,26.1,39,1
04118,19,40.2125,142.3267,5.0,37.7,37,1
04119,10,33.2528,139.4712,4.8,13.9,33,1
04122,22,35.3510,140.5685,5.0,26.4,38,1
04123,22,35.3858,140.3412,3.8,25.5,20,1
04124,13,42.0593,142.6462,4.7,60.2,40,1
04125,08,36.6973,140.6128,3.5,6.5,20,1
04126,10,40.0602,142.7237,5.1,28.1,40,1
04127,07,27.9867,129.5003,4.8,31.9,26,1
04133,12,37.0168,141.1545,4.1,52.0,43,1
04134,19,38.1400,141.9187,4.2,56.9,38,1
04137,01,37.0683,139.3517,3.5,7.6,20,1
04138,14,37.2480,136.7648,3.9,11.2,20,1
04139,11,26.3083,127.3487,5.0,46.7,9,1
04140,00,43.2743,145.8765,4.6,90.0,40,1
04141,05,35.8018,140.0987,4.4,65.8,40,1
04143,14,34.0495,135.1588,3.6,5.9,20,1
04144,20,33.6790,131.8980,4.2,77.0,40,1
04146,20,37.2722,142.1375,4.8,32.7,39,1
04147,06,36.6737,140.6590,3.7,9.7,20,1
04148,13,38.2328,141.5198,4.4,49.5,40,1
04149,04,35.8672,137.6492,3.4,8.6,20,1
04151,10,39.1898,142.4207,5.3,33.7,40,1
04153,23,28.5977,129.6098,4.1,54.3,26,1
04158,08,36.4330,140.6840,4.1,51.7,40,1
04159,04,35.7860,140.8670,4.4,14.3,39,1
04167,16,36.2558,137.5977,3.8,3.9,20,1
04168,09,36.2693,137.6042,3.6,3.2,20,1
04170,07,37.1527,140.2155,3.2,7.3,20,1
04171,10,36.0865,139.8833,4.0,47.0,35,1
04172,21,40.9707,142.0115,4.2,56.8,40,1
04173,06,37.6662,139.9422,2.8,8.7,20,1
04175,15,37.1032,140.6887,3.5,8.3,20,1
04176,02,36.4562,140.6025,4.3,55.7,41,1
04177,07,40.9572,141.6112,4.6,82.2,40,1
04181,21,38.6145,141.9077,4.2,48.2,40,1
04182,15,26.3752,127.2022,4.5,10.3,8,1
04183,06,37.6297,141.5710,4.7,51.2,40,1
04185,14,24.5182,142.4478,6.4,139.4,46,1
04186,05,35.8993,137.6468,3.4,7.8,20,1
04187,04,39.1028,142.2018,4.0,43.9,40,1
04191,10,36.4520,140.5617,4.5,60.0,40,1
04196,13,28.1113,128.0872,5.6,12.7,24,1
04197,07,33.8238,131.8758,4.4,76.7,39,1
04199,10,35.1955,136.5543,3.3,5.2,20,1
04200,03,34.3648,134.8922,4.2,11.4,20,1
04201,11,36.4062,140.1505,4.2,108.4,39,1
04203,16,36.8782,141.3540,5.0,28.0,40,1
04204,05,37.0717,141.1910,4.2,50.4,40,1
04205,16,36.1360,140.0132,3.9,48.7,33,1
04210,15,35.4927,136.3092,4.1,37.8,35,1
04212,12,33.8942,132.6438,3.9,43.9,32,1
04213,00,37.2377,136.6780,4.1,8.3,37,1
04214,10,34.7747,139.3652,1.7,0.2,23,1
04216,03,33.6812,135.1495,3.9,39.4,30,1
04217,14,40.9213,143.2907,5.6,34.0,40,1
04219,06,40.9998,141.7432,4.4,80.9,39,1
04220,19,30.5715,130.9562,3.4,6.7,24,1
04221,04,33.7055,132.6223,4.0,41.5,40,1
04223,22,38.7093,140.9782,3.7,16.0,20,1
04224,13,40.7653,142.0595,4.3,92.0,34,1
04225,15,35.9173,140.1107,4.4,61.3,38,1
04226,16,42.0137,142.5308,4.3,51.4,40,1
04227,17,40.5263,141.6302,4.0,106.3,40,1
04228,23,42.6892,145.7330,4.6,47.7,40,1
04231,04,43.6552,144.4947,4.2,0.0,20,1
04232,13,33.8333,135.3225,3.9,51.7,35,1
04233,22,36.7925,137.9237,3.8,5.4,20,1
04234,22,36.7453,137.8953,3.8,3.0,20,1
04235,00,36.6063,137.8857,3.0,7.0,20,1
04236,04,36.6200,137.8480,3.6,0.0,20,1
04239,12,36.7422,137.8817,4.4,5.4,20,1
04240,15,36.7427,137.8807,3.4,4.8,20,1
04241,13,36.7428,137.8780,3.6,4.3,20,1
04242,20,36.5188,140.7023,4.0,54.7,35,1
04243,01,37.0552,140.6290,4.3,9.8,20,1
04244,23,35.2908,137.1190,4.2,45.2,34,1
04247,18,37.7713,139.9797,3.7,8.5,20,1
04248,12,32.0390,129.8480,4.1,12.7,39,1
04249,13,42.7290,145.5232,5.3,45.6,39,1
04258,18,38.4662,142.0425,4.2,42.5,40,1
04263,21,35.0270,135.5322,3.9,14.7,20,1
04264,02,42.6503,144.5318,4.5,54.3,38,1
04269,12,35.8637,137.8952,3.6,8.2,20,1
04270,23,33.9560,133.8758,4.0,41.2,40,1
04271,13,39.9127,143.7322,6.5,8.0,36,1
04273,17,35.5633,140.1378,4.5,68.4,37,1
04274,19,39.0488,142.2058,4.3,49.5,40,1
04277,08,24.8022,125.3778,4.4,49.1,11,1
04278,12,34.7378,139.2728,3.1,1.4,40,1
04279,11,38.8583,142.1742,4.1,43.1,40,1
04280,20,37.3335,141.5882,5.0,46.4,39,1
04282,01,26.3573,141.5482,4.7,111.9,30,1
04284,20,43.3872,145.9148,4.3,65.3,40,1
04286,10,38.5277,141.8177,4.8,49.9,40,1
04289,09,42.3527,143.0962,5.0,50.4,39,1
04290,16,36.1338,139.8258,3.8,49.8,39,1
04296,08,33.6023,132.5345,4.1,46.8,39,1
04298,16,36.6407,140.9403,4.0,49.3,34,1
04301,13,37.5077,141.5778,5.0,44.8,39,1
04303,12,32.8717,131.0960,1.7,1.3,20,1
04305,06,39.6520,141.9167,4.4,16.5,20,1
04309,08,30.4480,130.1878,2.3,0.4,14,1
04310,16,33.0313,130.4847,4.0,8.1,20,1
04318,05,28.3038,129.5077,4.2,34.8,26,1
04319,06,35.2255,139.0278,3.3,3.4,20,1
04323,18,36.0685,139.8647,4.1,45.6,35,1
04324,14,43.6750,147.8383,6.3,1.0,39,1
04326,14,38.3012,142.1072,4.1,36.9,36,1
04327,02,31.0823,131.5047,4.7,31.6,40,1
04329,18,37.8357,141.6983,4.9,64.7,39,1
04330,21,36.0747,139.8593,4.0,45.3,36,1
04331,17,37.0977,140.6847,4.2,8.1,20,1
04332,09,38.7140,142.2193,4.5,39.9,40,1
04333,23,38.3685,141.8288,4.7,63.0,40,1
04334,10,36.3705,136.5747,3.0,6.6,20,1
04337,21,43.0193,145.7900,4.4,44.4,40,1
04338,11,38.8682,141.5950,4.4,75.1,39,1
04340,12,24.8035,125.5103,4.2,18.7,10,1
04344,20,37.0607,139.3408,2.9,7.0,20,1
04345,21,38.7207,142.2545,4.8,39.5,40,1
04346,04,36.0582,137.5635,3.8,8.0,20,1
04350,14,37.2925,141.2118,5.1,16.3,39,1
04352,10,36.4043,138.0412,3.2,3.0,20,1
04353,23,35.2318,138.6225,3.3,15.7,20,1
04354,23,36.3537,140.9337,4.8,45.6,35,1
04357,13,29.3120,130.4598,5.3,45.1,47,1
04358,11,36.4475,136.2035,4.3,16.7,40,1
04359,20,34.6995,138.5185,4.6,23.2,19,1
04360,11,36.8085,141.2298,4.5,41.4,34,1
04361,05,35.9952,140.2077,3.9,40.6,35,1
04362,23,43.4918,144.0640,3.9,0.0,20,1
04363,15,40.0315,140.5307,3.9,8.7,20,1
04364,05,38.6378,141.8085,4.1,50.0,40,1
04365,03,33.0915,130.4310,3.4,10.2,20,1
04366,20,36.4418,140.8027,3.9,57.5,40,1
04367,00,26.5815,128.2223,4.5,43.5,13,1
04369,02,34.4115,135.8788,3.4,9.7,20,1
04370,18,38.7013,142.2477,5.0,39.5,40,1
04372,09,41.4918,142.0018,4.4,65.4,40,1
04375,18,27.1282,140.6282,5.7,314.4,39,1
04378,12,41.5680,142.0677,5.2,65.2,40,1
04380,00,32.6665,132.0107,4.0,35.7,40,1
04383,03,42.9847,145.8008,4.4,46.9,39,1
04387,08,36.6715,140.6517,4.3,9.9,20,1
04388,13,34.9787,135.6965,3.6,11.2,20,1
