id,hour,lat,lon,mag,depth,nsta,label
00001,07,34.1470,135.1607,3.4,8.6,33,1
00002,03,31.8363,130.2910,3.1,5.9,25,1
00003,11,28.0560,130.4255,4.2,26.9,11,1
00004,12,28.1238,130.3577,4.5,34.8,21,1
00007,02,35.6165,140.2328,5.0,78.0,40,1
00012,22,34.3672,139.2303,3.9,11.0,23,1
00014,00,41.4628,142.0772,5.3,62.1,35,1
00018,01,35.7472,137.1192,4.3,10.6,36,1
00019,02,26.1267,127.8053,3.0,12.8,7,1
00020,11,41.9555,142.3898,4.9,55.2,32,1
00021,12,31.8455,130.2953,3.5,7.1,27,1
00025,04,37.7103,142.2225,5.1,35.4,38,1
00027,15,31.9703,130.4598,4.4,8.1,25,1
00029,01,37.5447,138.3803,4.6,26.2,35,1
00032,19,36.4337,140.6693,4.4,57.6,38,1
00035,13,37.3538,141.2165,4.5,65.0,37,1
00039,02,34.9550,139.1872,3.8,7.7,14,1
00041,10,34.9558,139.1828,4.4,6.8,14,1
00042,17,34.9543,139.1890,4.5,7.2,14,1
00043,18,34.9578,139.2267,4.3,7.4,14,1
00044,12,34.5772,140.2347,4.7,96.8,37,1
00046,07,36.0865,139.8700,4.0,48.2,40,1
00048,08,22.3795,125.4368,7.7,35.0,6,1
00049,11,26.4003,127.6857,4.1,12.1,5,1
00050,17,34.9545,139.1932,4.3,7.5,14,1
00053,03,39.8422,140.9700,2.9,9.3,35,1
00056,22,28.2725,129.4528,3.8,36.5,10,1
00057,03,34.9380,139.9227,4.8,72.6,40,1
00058,12,35.1635,136.5643,3.9,8.9,40,1
00060,00,37.0482,138.2132,2.3,11.3,39,1
00063,11,36.8685,139.5132,3.8,7.6,39,1
00067,17,39.8438,140.9693,3.9,8.7,35,1
00069,07,36.0950,139.8902,4.5,49.4,40,1
00072,20,37.2097,139.9952,5.2,7.6,29,1
00073,14,36.2368,137.6185,3.0,3.6,38,1
00074,14,36.2373,137.6233,2.8,4.1,39,1
00076,23,36.2660,137.6375,3.7,4.9,37,1
00077,23,36.2642,137.6347,4.0,4.9,37,1
00078,02,36.2380,137.6187,2.6,3.8,37,1
00083,21,36.2400,137.6408,3.2,5.4,35,1
00086,04,36.2440,137.6700,3.0,5.4,35,1
00090,20,34.2205,139.1453,3.9,12.7,38,1
00091,23,36.2388,137.6602,3.7,6.6,36,1
00095,14,24.3667,122.9687,5.5,62.7,6,1
00096,14,34.1517,139.0630,3.2,6.6,36,1
00099,06,37.5135,141.3717,4.7,83.7,38,1
00101,15,28.5243,129.2765,4.6,47.0,49,1
00102,09,34.3582,139.2290,3.3,8.8,40,1
00104,03,36.4570,140.5992,3.8,57.5,39,1
00110,02,37.0717,141.5973,4.7,38.8,35,1
00113,03,40.2330,140.1823,3.5,15.6,25,1
00114,01,33.5073,135.1472,4.0,41.1,40,1
00118,19,37.4022,139.4482,4.1,7.5,36,1
00119,12,44.1297,147.4258,5.5,118.7,39,1
00122,01,37.1280,141.5258,5.3,45.0,39,1
00125,09,32.2262,130.3035,3.7,12.9,27,1
00126,18,34.2627,139.1393,4.1,8.4,39,1
00127,20,32.7927,130.9648,3.7,10.8,33,1
00128,17,34.3573,136.1092,4.1,8.5,40,1
00131,10,39.1558,139.8503,3.7,19.5,28,1
00132,15,28.2668,129.4832,4.8,33.9,11,1
00135,20,39.6050,141.9230,4.8,30.0,25,1
00136,23,34.9865,135.5655,4.0,15.1,38,1
00137,09,34.2312,139.1247,3.7,10.7,38,1
00139,09,34.2555,139.1657,3.4,10.9,39,1
00143,10,31.8767,131.0588,3.4,7.9,22,1
00145,17,34.9718,134.7172,3.8,17.7,40,1
00146,18,32.8018,130.8123,3.5,11.1,33,1
00147,03,39.0212,140.9085,4.5,10.3,34,1
00150,21,35.2130,138.3388,4.9,19.8,41,1
00153,12,43.0760,144.5945,4.3,75.7,33,1
00155,04,35.2327,135.2942,3.9,11.1,37,1
00156,16,43.0273,146.1935,5.3,37.6,16,1
00157,17,43.0807,144.5068,4.0,93.7,34,1
00158,19,36.1035,139.7843,4.1,48.2,40,1
00159,06,34.4818,139.2327,4.1,13.2,39,1
00161,19,34.6457,135.1350,3.9,12.7,41,1
00163,09,27.3238,142.1827,5.1,83.6,40,1
00164,11,40.7318,141.8840,4.7,98.5,39,1
00166,22,34.7262,139.4147,2.4,0.0,38,1
00167,07,31.9635,130.1700,4.0,10.3,25,1
00169,00,40.0702,142.1038,4.3,50.3,36,1
00171,19,41.9895,142.6615,4.7,49.4,25,1
00172,18,36.3870,137.8618,3.8,0.8,39,1
00173,05,40.9302,141.2582,4.1,14.7,25,1
00175,18,36.6378,139.4248,3.7,8.7,40,1
00176,22,36.4587,141.5003,4.8,44.6,36,1
00177,19,33.4443,140.8165,4.7,63.3,39,1
00180,21,37.4178,140.8063,4.5,80.6,40,1
00183,10,38.3200,142.4277,5.7,46.1,39,1
00184,07,42.0818,142.4037,5.0,59.9,39,1
00186,03,35.8922,140.5013,4.3,33.7,38,1
00191,17,33.2820,131.4588,3.1,0.0,24,1
00193,19,33.2905,131.4512,2.9,5.1,25,1
00195,10,34.4273,139.2022,4.4,13.1,37,1
00196,23,42.7405,144.6002,4.1,54.8,31,1
00198,00,36.1487,139.8540,4.2,53.1,40,1
00200,13,37.2905,141.6638,5.1,42.9,40,1
00201,22,36.2488,136.3030,3.6,9.6,28,1
00203,21,36.2470,136.3063,3.3,10.2,32,1
00204,20,33.8385,131.4048,4.1,18.2,27,1
00205,11,34.5967,137.0692,3.5,9.5,40,1
00206,13,34.5947,137.0707,3.3,10.2,40,1
00208,16,39.0232,140.9038,4.9,10.9,35,1
00210,23,32.5642,129.9872,4.0,10.1,26,1
00215,00,35.2118,135.5480,4.1,13.8,40,1
00218,16,35.4872,140.3873,3.8,34.2,37,1
00220,17,28.4668,129.4042,4.1,7.8,10,1
00222,22,37.2803,138.4927,4.1,10.7,34,1
00223,20,22.5578,144.0355,7.9,128.0,46,1
00224,07,42.5285,140.8262,3.4,8.3,24,1
00225,09,42.5225,140.8492,3.2,7.6,23,1
00228,18,42.5245,140.8350,3.6,3.5,25,1
00229,19,42.5282,140.8195,3.6,4.1,26,1
00231,20,42.5243,140.8290,3.3,8.2,18,1
00232,21,42.5268,140.8353,3.3,5.5,26,1
00239,00,42.5227,140.8278,2.9,5.7,26,1
00246,05,42.5225,140.8208,3.3,5.3,22,1
00247,05,42.5270,140.8183,3.1,4.7,25,1
00248,05,42.5305,140.8457,3.0,4.6,10,1
00254,07,42.5180,140.8252,3.0,5.1,24,1
00255,07,42.5217,140.8192,3.1,5.3,25,1
00256,07,42.5305,140.8187,2.9,4.1,25,1
00257,08,42.5213,140.8450,2.9,4.3,25,1
00259,09,42.5068,140.8583,3.0,4.0,19,1
00261,09,42.5245,140.8317,2.3,4.7,10,1
00262,09,42.5213,140.8430,2.7,5.6,23,1
00263,09,42.5102,140.8413,3.3,4.4,24,1
00265,09,42.5288,140.8477,2.6,4.8,14,1
00266,09,42.5470,140.8217,2.5,3.3,14,1
00267,09,42.5243,140.8183,3.2,1.7,25,1
00268,09,42.5260,140.8427,2.3,5.3,13,1
00269,10,42.5190,140.8438,2.7,5.1,19,1
00270,10,42.5212,140.8397,2.6,4.6,12,1
00271,10,42.5475,140.8577,3.0,3.8,21,1
00272,10,42.5148,140.8363,3.3,6.1,22,1
00273,10,42.5232,140.8447,2.5,4.9,14,1
00274,10,42.5140,140.8333,2.8,6.0,22,1
00275,10,42.5232,140.8340,2.6,5.7,12,1
00277,10,42.5407,140.8483,2.2,0.0,17,1
00283,11,42.5375,140.8213,2.6,5.8,13,1
00284,11,42.5235,140.8468,2.7,4.2,13,1
00286,11,42.5142,140.8183,3.1,4.0,24,1
00290,11,42.5210,140.8460,2.9,5.8,26,1
00291,11,42.5197,140.8400,2.7,5.7,29,1
00293,12,42.5220,140.8442,2.6,5.7,21,1
00294,12,42.5173,140.8268,2.9,6.9,24,1
00295,12,42.5163,140.8348,3.0,4.0,22,1
00296,12,42.5192,140.8183,3.5,5.6,25,1
00300,13,42.5280,140.8175,2.4,4.7,12,1
00302,13,42.5112,140.8313,3.3,6.2,26,1
00303,13,42.5175,140.8470,2.9,5.3,23,1
00304,14,42.5375,140.8248,2.8,0.0,23,1
00306,14,42.5110,140.8267,2.8,4.5,13,1
00307,15,42.5167,140.8255,2.5,5.2,13,1
00308,15,42.5165,140.8190,3.1,6.4,25,1
00310,15,42.5133,140.8258,2.9,6.5,24,1
00311,15,42.5100,140.8275,3.2,4.3,24,1
00312,15,42.5265,140.8487,2.8,3.8,25,1
00315,16,42.5112,140.8273,4.0,5.6,25,1
00316,16,42.5233,140.8210,2.6,6.2,14,1
00317,16,42.5205,140.8490,2.9,5.7,23,1
00318,17,42.5457,140.8610,2.5,3.2,14,1
00320,17,42.4952,140.8113,2.8,8.8,21,1
00327,20,42.5173,140.8190,3.1,6.3,26,1
00331,21,42.5093,140.8338,3.2,6.1,21,1
00333,22,42.5288,140.8155,2.7,5.8,25,1
00335,23,42.5087,140.8393,2.8,6.1,21,1
